ID,city name,lat,lng,country,iso2,population
1,North Palm Beach,26.8217,-80.0574,United States,US,12993.0
2,Thessaloniki,40.6961,22.885,Greece,GR,828000.0
3,Sullivan,38.2127,-91.1636,United States,US,9171.0
4,Tlimcen,34.8904,-1.32,Algeria,DZ,229777.0
5,Plovdiv,42.154,24.754,Bulgaria,BG,340494.0
6,Binga,2.3834,20.42,Congo (Kinshasa),CD,64639.0
7,Krasnodar,45.02,39.0,Russia,RU,649851.0
8,Brookhaven,31.5803,-90.4432,United States,US,10504.0
9,Whitehall,40.3602,-79.9898,United States,US,13749.0
10,Ñacunday,-26.02,-54.7699,Paraguay,PY,1250.0
11,Thohoyandou,-22.95,30.48,South Africa,ZA,269707.0
12,Udon Thani,17.4048,102.7893,Thailand,TH,247231.0
13,Rio Grande,-32.0495,-52.12,Brazil,BR,187838.0
14,Pattani,6.864,101.25,Thailand,TH,150000.0
15,Nasik,20.0004,73.78,India,IN,1473000.0
16,Séguéla,7.9504,-6.67,Ivory Coast,CI,51157.0
17,Chilpancingo,17.55,-99.5,Mexico,MX,182387.0
18,Tabuk,28.3838,36.555,Saudi Arabia,SA,547957.0
19,Pematangsiantar,2.9614,99.0615,Indonesia,ID,341200.0
20,Temple Terrace,28.044,-82.378,United States,US,26515.0
21,Medellín,6.275,-75.575,Colombia,CO,3297000.0
22,Novosibirsk,55.03,82.96,Russia,RU,1389000.0
23,Rayevskiy,54.0674,54.9269,Russia,RU,20060.0
24,Rosso,16.524,-15.8127,Mauritania,MR,47203.0
25,Laguna,-28.48,-48.78,Brazil,BR,39711.0
26,Paulo Afonso,-9.3307,-38.2657,Brazil,BR,85350.0
27,Ismaïlia,30.5903,32.26,Egypt,EG,656135.0
28,Aransas Pass,27.8881,-97.1128,United States,US,8393.0
29,Novo Hamburgo,-29.7096,-51.14,Brazil,BR,876990.0
30,Subotica,46.07,19.68,Serbia,RS,100000.0
31,Tobolsk,58.1998,68.2648,Russia,RU,113800.0
32,San Pedro,-24.2196,-64.87,Argentina,AR,58430.0
33,Puerto Heath,-12.4996,-68.6666,Bolivia,BO,10.0
34,Szczecin,53.4204,14.53,Poland,PL,407811.0
35,Tripoli,37.5091,22.3794,Greece,GR,28970.0
36,London,51.5,-0.1167,United Kingdom,GB,8567000.0
37,Newport,35.6243,-91.2319,United States,US,6190.0
38,Simla,31.1,77.1666,India,IN,173503.0
39,Newton,38.0348,-97.3519,United States,US,20625.0
40,Uitenhage,-33.7596,25.39,South Africa,ZA,228912.0
41,Commerce,33.242,-95.8999,United States,US,8685.0
42,Kinshasa,-4.3297,15.315,Congo (Kinshasa),CD,7843000.0
43,Manila,14.6042,120.9822,Philippines,PH,11100000.0
44,Arba Minch,6.04,37.55,Ethiopia,ET,69622.0
45,Southwest Ranches,26.0476,-80.3762,United States,US,7898.0
46,Talara,-4.58,-81.28,Peru,PE,99074.0
47,Uppsala,59.8601,17.64,Sweden,SE,133117.0
48,Batouri,4.4337,14.3666,Cameroon,CM,43821.0
49,Alotau,-10.3021,150.4591,Papua New Guinea,PG,11624.0
50,Kerman,30.3,57.08,Iran,IR,577514.0
51,Đồng Hới,17.4833,106.6,Vietnam,VN,189265.0
52,Barnaul,53.355,83.745,Russia,RU,599579.0
53,Funtua,11.5204,7.32,Nigeria,NG,180475.0
54,Kibaha,-6.7667,38.9167,Tanzania,TZ,23651.0
55,Johannesburg,-26.17,28.03,South Africa,ZA,3435000.0
56,Kenema,7.8804,-11.19,Sierra Leone,SL,143137.0
57,Kings Mountain,35.236,-81.3498,United States,US,10797.0
58,Alcoa,35.8071,-83.9748,United States,US,9874.0
59,Adapazarı,40.8,30.415,Turkey,TR,260109.0
60,Greymouth,-42.4716,171.2231,New Zealand,NZ,10100.0
61,Ragusa,36.93,14.73,Italy,IT,68956.0
62,Parras,25.4204,-102.1799,Mexico,MX,32253.0
63,Mae Hong Son,19.301,97.969,Thailand,TH,9109.0
64,Jining,41.03,113.08,China,CN,281716.0
65,Jalal Abad,40.9429,73.0025,Kyrgyzstan,KG,248899.0
66,Salta,-24.7834,-65.4166,Argentina,AR,512686.0
67,Pita,11.08,-12.401,Guinea,GN,20052.0
68,Mariinsk,56.2108,87.7604,Russia,RU,43122.0
69,Agboville,5.9403,-4.28,Ivory Coast,CI,81770.0
70,Oakland,41.0313,-74.2411,United States,US,13130.0
71,Machakos,-1.5095,37.26,Kenya,KE,144925.0
72,Cranston,41.7658,-71.4858,United States,US,81034.0
73,Châu Đốc,10.7004,105.1167,Vietnam,VN,70239.0
74,El Cayo,17.156,-89.061,Belize,BZ,16977.0
75,Chipata,-13.6296,32.64,Zambia,ZM,85963.0
76,Tsu,34.7171,136.5167,Japan,JP,500000.0
77,Elyria,41.3761,-82.1063,United States,US,53715.0
78,Vejle,55.709,9.535,Denmark,DK,51177.0
79,Puerto Ayacucho,5.6639,-67.6236,Venezuela,VE,52526.0
80,Foley,30.3994,-87.6645,United States,US,31880.0
