ID,city name,lat,lng,country,iso2,population
1,Kipushi,-11.7596,27.25,Congo (Kinshasa),CD,113347.0
2,Tzaneen,-23.8195,30.17,South Africa,ZA,67245.0
3,Vannersborg,58.363,12.33,Sweden,SE,21835.0
4,La Unión,-40.29,-73.09,Chile,CL,26298.0
5,Bati,11.1837,40.0166,Ethiopia,ET,19260.0
6,Sakhon Nakhon,17.1679,104.1479,Thailand,TH,76237.0
7,Abu Dhabi,24.4667,54.3666,United Arab Emirates,AE,603492.0
8,Lecce,40.3604,18.15,Italy,IT,162582.0
9,Shelburne,43.7656,-65.3194,Canada,CA,3167.0
10,Qairouan,35.6804,10.1,Tunisia,TN,144522.0
11,Seres,41.086,23.5497,Greece,GR,55886.0
12,Sayanogorsk,53.0894,91.4004,Russia,RU,55642.0
13,Mao,14.1194,15.3133,Chad,TD,18031.0
14,Yishui,35.7904,118.62,China,CN,94115.0
15,Fuzhou,26.08,119.3,China,CN,2606000.0
16,Ust-Ulimsk,57.99,102.6333,Russia,RU,100271.0
17,Zadar,44.1201,15.2623,Croatia,HR,71258.0
18,Xaignabouri,19.2505,101.7501,Laos,LA,16200.0
19,Akola,20.71,77.01,India,IN,503502.0
20,Tottori,35.5004,134.2333,Japan,JP,154098.0
21,Hurdiyo,10.582,51.1233,Somalia,SO,176.0
22,Kohima,25.667,94.1166,India,IN,92113.0
23,Goodrich,42.9147,-83.5092,United States,US,5815.0
24,Gabú,12.28,-14.234,Guinea-Bissau,GW,14430.0
25,Las Tablas,7.7604,-80.28,Panama,PA,11358.0
26,Oneonta,33.9385,-86.4936,United States,US,5482.0
27,Chibia,-15.1896,13.69,Angola,AO,1411.0
28,Kamensk Shakhtinskiy,48.3318,40.2518,Russia,RU,75814.0
29,Sumner,47.219,-122.2337,United States,US,9969.0
30,Dund-Us,48.0166,91.6333,Mongolia,MN,30500.0
31,Parachinar,33.8992,70.1008,Pakistan,PK,55685.0
32,Claremont,43.379,-72.3368,United States,US,9312.0
33,Show Low,34.2677,-110.0387,United States,US,10835.0
34,Gillam,56.35,-94.7,Canada,CA,1281.0
35,Muğla,37.2164,28.3639,Turkey,TR,48183.0
36,Djibo,14.099,-1.627,Burkina Faso,BF,22223.0
37,Umtata,-31.58,28.79,South Africa,ZA,137772.0
38,Garça,-22.22,-49.66,Brazil,BR,41302.0
39,Griffith,-34.29,146.04,Australia,AU,15455.0
40,San Carlos de Bariloche,-41.15,-71.3,Argentina,AR,95394.0
41,Iganga,0.6092,33.4686,Uganda,UG,45024.0
42,Manily,62.55,165.3,Russia,RU,10.0
43,Nagele,5.3166,39.5833,Ethiopia,ET,11772.0
44,Hathras,27.6,78.05,India,IN,126882.0
45,Avaré,-23.11,-48.93,Brazil,BR,81285.0
46,Pedro Juan Caballero,-22.5446,-55.76,Paraguay,PY,102787.0
47,Addis Ababa,9.0333,38.7,Ethiopia,ET,3100000.0
48,Platte City,39.3584,-94.7676,United States,US,9304.0
49,Oyem,1.6166,11.5833,Gabon,GA,43423.0
50,Doba,8.6504,16.85,Chad,TD,29597.0
51,Manyoni,-5.7796,34.9,Tanzania,TZ,310.0
52,Coos Bay,43.3789,-124.233,United States,US,32024.0
53,Thái Nguyên,21.6,105.83,Vietnam,VN,500000.0
54,Grandview,46.2432,-119.9082,United States,US,18909.0
55,As Samawah,31.3099,45.2803,Iraq,IQ,174978.0
56,Ceres,37.5954,-120.9624,United States,US,48278.0
57,Oradea,47.05,21.92,Romania,RO,213830.0
58,Chagda,60.1,133.9,Russia,RU,10.0
59,Aosta,45.737,7.315,Italy,IT,34062.0
60,Dikhil,11.104,42.372,Djibouti,DJ,12043.0
61,Hallandale Beach,25.9854,-80.1423,United States,US,39500.0
62,Maridi,4.9151,29.4769,South Sudan,SS,14224.0
63,Yamba,-29.423,153.3533,Australia,AU,1806.0
64,Ouidah,6.3604,2.09,Benin,BJ,83503.0
65,Ballarat,-37.5596,143.84,Australia,AU,85109.0
66,Darnah,32.7648,22.6391,Libya,LY,127974.0
67,Gagnoa,6.1504,-5.88,Ivory Coast,CI,123184.0
68,Corumbá,-19.016,-57.65,Brazil,BR,96520.0
69,Elâzığ,38.68,39.23,Turkey,TR,271492.0
70,Kermanshah,34.38,47.06,Iran,IR,828313.0
71,Santa Fe,-31.6239,-60.69,Argentina,AR,489505.0
72,Cajabamba,-7.6196,-78.04,Peru,PE,13486.0
73,Najran,17.5065,44.1316,Saudi Arabia,SA,369609.0
74,Banda Aceh,5.55,95.32,Indonesia,ID,513698.0
75,Nova Viçosa,-17.88,-39.37,Brazil,BR,55980.0
76,Jos,9.93,8.89,Nigeria,NG,816824.0
77,Vizianagaram,18.1204,83.5,India,IN,179358.0
78,Teli,51.0333,90.2333,Russia,RU,3732.0
79,Ambon,-3.7167,128.2,Indonesia,ID,355596.0
80,Mokpo,34.8068,126.3958,"Korea, South",KR,268402.0
